id,target
0,7.815749
2,7.9341908
6,7.972397
7,7.8048115
10,7.9646034
14,8.082726
16,7.9014254
17,7.991211
18,7.793092
19,7.653225
21,7.7663507
28,7.943898
29,8.092214
30,7.9523067
31,7.754821
34,7.6763306
35,8.046008
36,7.8591833
38,7.656699
40,7.824258
41,8.051798
42,8.029113
43,8.265376
44,7.6254787
46,7.8935537
47,7.701462
48,7.7396135
50,7.8337936
53,7.785281
54,7.7724876
61,8.062063
63,7.730213
65,8.035228
67,7.8069725
74,7.746422
79,7.5830936
81,7.991235
84,7.9372463
87,7.782589
88,7.535289
89,7.746029
90,7.39952
93,8.026116
94,7.5806456
96,8.079692
97,7.7907724
101,7.4745207
105,7.796672
106,8.0589285
110,8.128007
111,7.6051445
112,7.9707794
115,7.8596325
116,7.6891394
117,8.1494055
125,7.6425886
127,7.7674036
128,7.778405
129,7.9804926
132,8.021284
133,8.145915
134,7.802129
136,7.8511124
138,7.564332
141,7.799777
142,7.604924
143,8.043383
144,7.72849
147,7.57565
148,7.5652494
155,7.7937098
157,7.6942377
163,7.8094273
164,7.6029024
166,7.763134
168,7.658613
172,7.976284
174,7.779005
176,7.8406286
179,7.804384
180,8.027297
188,8.005313
199,7.393798
201,7.6741905
203,7.8690805
206,7.818369
209,7.744046
211,8.110561
214,7.844205
217,7.746045
222,7.63416
223,7.642782
230,7.7591305
231,7.6891155
234,8.195992
236,7.762721
238,7.734585
246,7.841381
247,7.8117266
248,7.871668
249,7.805249
250,7.942587
252,7.775611
253,7.825431
254,7.6584845
255,7.773279
256,8.10428
257,7.7854013
258,7.8972225
260,7.7130795
264,7.717229
268,7.8744154
269,7.653428
270,7.857668
271,7.7784786
272,8.0009165
274,7.754738
277,7.627282
279,7.7172365
283,7.871565
284,8.050996
285,8.136475
288,7.8144197
289,7.8748446
291,7.846406
294,7.7999496
295,7.8085823
296,8.109365
297,7.7452316
299,7.6143255
301,7.6160736
303,7.60118
305,7.9953976
306,7.707921
308,7.6171017
311,8.036706
312,7.7862186
313,8.056121
315,7.6476803
319,7.7181845
320,7.73738
323,8.078451
324,7.8371286
326,7.9430857
328,7.9322023
329,7.720952
333,7.981408
334,7.9186764
335,8.042535
336,7.57971
337,8.115795
338,7.9929237
339,8.050269
340,7.70298
341,7.956608
342,7.8843613
344,8.1946335
346,7.8481083
347,7.763651
350,7.785988
351,7.6039248
352,7.6428604
356,7.738204
360,7.721548
365,8.541778
371,7.8290653
377,7.775506
384,7.853154
387,7.75368
388,7.8199224
391,7.9178934
392,7.81069
398,8.093711
399,8.088158
403,7.716877
404,7.7258387
407,7.8446016
409,8.040911
410,7.789814
411,7.7945623
413,7.7133226
414,7.8764467
417,7.5618696
418,8.010253
420,7.7794304
423,7.980029
424,7.657159
426,7.826296
431,8.035067
432,8.080141
433,7.834429
434,7.8197565
436,7.992529
438,8.1377325
440,7.8387012
444,7.780962
445,7.8350716
446,7.8409586
447,7.851695
448,8.275906
449,7.7685356
450,7.8081684
453,7.907712
454,8.158766
456,7.7143536
457,7.670225
458,7.53121
464,8.025828
465,7.9837036
467,7.7036724
470,7.6929417
471,7.844672
474,8.000462
478,7.815174
480,7.6436005
484,8.065204
485,7.8129015
487,7.746134
488,8.051638
489,7.9583273
491,7.88908
495,7.9233475
499,7.888283
500,7.7583666
501,7.781415
502,7.540145
503,8.08398
506,7.876528
512,7.9606457
516,7.9380064
518,7.5624666
519,7.797407
521,7.788789
524,7.8702707
527,7.6170654
528,7.7893934
531,7.774729
532,7.9742746
533,7.7498417
534,7.7619963
535,8.02368
537,7.8765
538,7.842991
544,7.7590675
548,8.280442
549,7.9436264
550,8.101139
554,7.6148586
555,7.7831144
556,8.010735
558,8.074025
560,7.793394
561,7.9674244
564,8.2336235
566,7.6701317
571,7.509242
572,7.814577
573,7.7244215
574,7.8097925
575,7.8238792
576,7.924549
578,7.674055
579,7.9403954
582,7.9755287
587,7.787814
588,7.670184
592,7.775468
593,8.152173
606,8.202945
608,8.090515
610,7.5523767
611,7.749545
612,8.004715
613,7.705901
614,7.9675217
615,7.8113976
617,7.790085
618,7.84542
620,7.967329
623,7.6855345
624,7.8178387
626,7.557804
628,7.803956
632,7.885023
639,7.6424017
645,7.919443
648,7.6834593
649,8.034867
650,8.09313
656,7.8625727
657,7.9871874
660,7.9875565
663,7.7129545
664,8.046476
665,7.812704
671,7.9870806
673,7.894823
674,7.943948
677,7.7869406
681,7.9075317
683,7.6856756
685,8.426258
687,7.616168
688,7.694727
691,8.047778
692,7.7811403
695,7.490837
700,7.687951
703,8.01803
705,7.771847
709,8.129803
712,7.779458
713,7.6953773
715,7.61467
717,8.125174
720,7.861006
721,7.4585648
722,7.5761547
729,7.87099
730,8.030623
732,7.7843027
733,7.895735
736,8.046373
738,7.7349386
741,7.5634947
743,8.053809
745,7.732724
746,7.871749
748,7.6675167
749,7.892213
753,7.7744493
759,7.7590694
762,7.810055
764,7.69337
768,7.8015327
769,7.832469
770,8.038377
773,7.816147
779,8.404892
781,7.492346
784,8.037582
785,7.824892
791,7.637862
793,7.858286
794,7.9594374
801,7.90022
805,7.799407
810,7.788726
811,7.8136387
814,7.863117
818,7.7587404
821,8.009674
824,7.7619476
826,7.622696
828,8.051642
831,7.7899017
832,7.71346
833,7.9140472
835,7.9053583
838,7.702736
839,7.801032
842,7.9486303
845,8.116153
846,8.121163
848,7.9356537
852,7.917944
