,num_sold
0,51.23607222038063
1,48.43722941218434
2,45.63838660954056
3,50.43271306394158
4,47.63387015698967
5,44.83502939580498
6,42.03618863462029
7,49.62935391305504
8,46.83051100610314
9,44.03166809915123
10,41.23282757638512
11,48.825995119796374
12,46.02715221284447
13,37.630629690871814
14,43.22831073640404
15,34.831788214431384
16,40.429470690475085
17,53.943946989760974
18,51.14510312913475
19,42.7485806071621
20,48.346261652694324
21,39.94973913072167
22,45.547420176253894
23,53.140585931525806
24,50.34174397824822
25,47.54290250180779
26,44.744059118018725
27,52.337228449569324
28,49.53838864205895
29,41.141868027434924
30,46.73954335092125
31,38.34301701425133
32,43.940703781829455
33,51.53387108682213
34,48.735031279311755
35,40.338512572036365
36,45.93618789552269
37,37.5396691882473
38,43.13734451173363
39,56.65182367204247
40,53.85297933457909
41,51.05413595079003
42,48.25529638169823
43,55.848466428504565
44,53.049622091041186
45,44.65309384702263
46,39.055418523536304
47,50.25078061460076
48,36.25658276914177
49,41.854261907325366
50,47.451937230811694
51,55.045097740874866
52,52.24625340341149
53,43.84973088143883
54,38.252044113860705
55,49.44741383431969
56,35.45320073007164
57,41.0508951270443
58,46.648581894622424
59,54.241739901290515
60,51.442903670058826
61,43.0463830554348
62,48.64406600831566
63,40.24753967164574
64,45.8452226245266
65,51.24723789332924
66,48.448395075784305
67,45.64955225823937
68,50.44387892125664
69,47.64503577588616
70,44.846195253120044
71,42.04735425351677
72,49.640519531951526
73,46.84167662499962
74,44.04283371804772
75,41.243993195281604
76,48.83716073869286
77,46.038317831740954
78,37.6417953097683
79,43.23947683213768
80,34.84295431016503
81,40.44063630937157
82,53.95511260865746
83,51.15626874803124
84,42.75974622605858
85,48.35742727159081
86,39.96090474961815
87,45.55858579515038
88,53.15175155042229
89,50.3529095971447
90,47.55406812070427
91,44.75522473691521
92,52.34839406846581
93,49.54955426095543
94,41.15303364633141
95,46.75070896981774
96,38.354182633147815
97,43.95186940072594
98,51.545036705718616
99,48.74619689820824
100,40.34967819093285
101,45.94735351441918
102,37.55083480714379
103,43.148510130630115
104,56.66298929093895
105,53.864144953475574
106,51.06530156968651
107,48.266462000594714
108,55.85963204740105
109,53.06078770993767
110,44.664259465919116
111,39.06658414243279
112,50.26194623349724
113,36.26774838803826
114,41.86542752622185
115,47.46310284970818
116,55.056259545074084
117,52.257415207610705
118,43.86089268563805
119,38.263205918059924
120,49.45857563851891
121,35.46436253427086
122,41.06205693124352
123,46.65974369882164
124,54.252901705489734
125,51.454065474258044
126,43.05754485963402
127,48.65522781251488
128,40.25870147584496
129,45.85638442872582
130,51.25840357183037
131,48.4595608436924
132,45.66071799634514
133,50.455044540153125
134,47.65620163320122
135,44.85736087201653
136,42.05851987241326
137,49.65168562768517
138,46.852842720733264
139,44.0539993369442
140,41.25515881417809
141,48.8483268344265
142,46.04948345063744
143,37.65296092866478
144,43.25064245103417
145,34.85411992906151
146,40.45180240510521
147,53.96627822755394
148,51.16743436692772
149,42.770911844955066
150,48.36859289048729
151,39.972070368514636
152,45.56975141404686
153,53.162917169318774
154,50.364075216041186
155,47.56523373960076
156,44.766390355811694
157,52.35955968736229
158,49.560719879851916
159,41.16419926522789
160,46.76187458871422
161,38.3653482520443
162,43.963035019622424
163,51.5562023246151
164,48.757362517104724
165,40.36084380982933
166,45.95851913331566
167,37.56200042604027
168,43.1596757495266
169,56.67415490983544
170,53.87531057237206
171,51.076467188582996
172,48.2776276194912
173,55.870797666297534
174,53.071953328834155
175,44.6754250848156
176,39.07774976132927
177,50.273111852393725
178,36.27891400693474
179,41.876593145118335
180,47.47426846860466
181,55.067428978667834
182,52.268584641204455
183,43.8720621192318
184,38.274375351653674
185,49.46974507211266
186,35.47553196786461
187,41.07322636483727
188,46.67091313241539
189,54.264071139083484
190,51.465234907851794
191,43.06871429322777
192,48.66639724610863
193,40.26987090943871
194,45.86755386231957
195,51.34803787110863
196,48.549205454574206
197,45.750356825576404
198,50.54468074678002
199,47.74584689973412
200,44.94699970124779
201,42.14815059541283
202,49.74133840440331
203,46.94248929856835
204,44.14364210008202
205,41.34479299424706
206,48.93796602128563
207,46.13913408158837
208,37.74260393022118
209,43.34026876329003
210,34.94373861192284
211,40.54145303605614
212,54.05590692399559
213,51.25707116960106
214,42.86054483293114
215,48.458223971114734
216,40.061693819747546
217,45.659376772628406
218,53.252551230178454
219,50.453704031692126
220,47.654868277297595
221,44.85603633760033
222,52.449195536361316
