row_id,congestion
848835,45
848836,31
848837,48
848838,26
848839,69
848840,61
848841,49
848842,48
848843,60
848844,65
848845,38
848846,28
848847,40
848848,36
848849,59
848850,29
848851,44
848852,55
848853,60
848854,56
848855,43
848856,42
848857,38
848858,64
848859,61
848860,58
848861,53
848862,71
848863,52
848864,56
848865,65
848866,61
848867,66
848868,40
848869,65
848870,52
848871,63
848872,45
848873,45
848874,69
848875,70
848876,56
848877,76
848878,74
848879,38
848880,19
848881,27
848882,38
848883,23
848884,44
848885,50
848886,67
848887,58
848888,36
848889,26
848890,61
848891,23
848892,55
848893,71
848894,46
848895,66
848896,38
848897,68
848898,23
848899,51
848900,47
848901,33
848902,48
848903,28
848904,68
848905,61
848906,49
848907,48
848908,60
848909,65
848910,37
848911,27
848912,39
848913,36
848914,65
848915,27
848916,43
848917,59
848918,57
848919,55
848920,46
848921,38
848922,39
848923,60
848924,64
848925,58
848926,54
848927,72
848928,52
848929,55
848930,65
848931,63
848932,65
848933,40
848934,66
848935,53
848936,63
848937,46
848938,46
848939,70
848940,70
848941,54
848942,77
848943,74
848944,38
848945,21
848946,28
848947,38
848948,27
848949,44
848950,53
848951,66
848952,57
848953,36
848954,27
848955,62
848956,26
848957,55
848958,73
848959,46
848960,65
848961,37
848962,69
848963,24
848964,48
848965,47
848966,33
848967,48
848968,29
848969,68
848970,61
848971,42
848972,47
848973,58
848974,62
848975,37
848976,29
848977,39
848978,36
848979,64
848980,29
848981,43
848982,52
848983,58
848984,59
848985,45
848986,40
848987,41
848988,62
848989,65
848990,58
848991,55
848992,72
848993,53
848994,57
848995,66
848996,63
848997,64
848998,41
848999,66
849000,54
849001,63
849002,41
849003,47
849004,70
849005,70
849006,51
849007,78
849008,74
849009,37
849010,20
849011,28
849012,39
849013,35
849014,44
849015,55
849016,67
849017,62
849018,35
849019,27
849020,61
849021,24
849022,56
849023,71
849024,50
849025,62
849026,37
849027,73
849028,20
849029,50
849030,43
849031,38
849032,47
849033,28
849034,67
849035,61
849036,50
849037,42
849038,60
849039,63
849040,40
849041,30
849042,39
849043,39
849044,64
849045,33
849046,43
849047,59
849048,57
849049,62
849050,44
849051,38
849052,40
849053,56
849054,64
849055,59
849056,60
849057,72
849058,58
849059,53
849060,74
849061,70
849062,68
849063,40
849064,67
849065,55
849066,64
849067,39
849068,43
849069,65
849070,68
849071,49
849072,72
849073,76
849074,38
849075,27
849076,35
849077,37
849078,34
849079,46
849080,60
849081,65
849082,67
849083,37
849084,21
849085,65
849086,23
849087,58
849088,73
849089,48
849090,59
849091,29
849092,72
849093,19
849094,32
849095,34
849096,37
849097,49
849098,31
849099,69
849100,62
849101,49
849102,44
849103,61
849104,65
849105,40
849106,30
849107,40
849108,37
849109,64
849110,31
849111,42
849112,56
849113,56
849114,65
849115,45
849116,40
849117,41
849118,57
849119,68
849120,61
849121,61
849122,71
849123,63
849124,55
849125,74
849126,67
849127,68
849128,39
849129,68
849130,51
849131,69
849132,39
849133,43
849134,63
849135,69
849136,51
849137,73
849138,76
849139,38
849140,27
849141,35
849142,38
849143,34
849144,46
849145,60
849146,69
849147,63
849148,39
849149,23
849150,65
849151,27
849152,57
849153,74
849154,47
849155,60
849156,29
849157,73
849158,12
849159,34
849160,47
849161,35
849162,50
849163,32
849164,74
849165,64
849166,53
849167,44
849168,61
849169,65
849170,41
849171,32
849172,41
849173,37
849174,64
849175,28
849176,42
849177,54
849178,58
849179,64
849180,45
849181,42
849182,39
849183,60
849184,68
849185,60
849186,60
849187,71
849188,64
849189,54
849190,74
849191,69
849192,70
849193,39
849194,67
849195,55
849196,67
849197,39
849198,46
849199,67
849200,69
849201,51
849202,74
849203,76
849204,39
849205,24
849206,34
849207,39
849208,34
849209,46
849210,59
849211,70
849212,64
849213,38
849214,25
849215,67
849216,21
849217,54
849218,74
849219,51
849220,60
849221,29
849222,73
849223,12
849224,38
849225,47
849226,43
849227,49
849228,35
849229,79
849230,66
849231,61
849232,49
849233,64
849234,64
849235,38
849236,36
849237,43
849238,39
849239,66
849240,34
849241,42
849242,61
849243,69
849244,62
849245,39
849246,31
849247,40
849248,69
849249,63
849250,60
849251,66
849252,72
849253,60
849254,57
849255,66
849256,62
849257,68
849258,47
849259,72
849260,62
849261,68
849262,37
849263,51
849264,78
849265,71
849266,56
849267,74
849268,76
849269,38
849270,22
849271,27
849272,39
849273,32
849274,50
849275,58
849276,67
849277,65
849278,40
849279,22
849280,67
849281,29
849282,55
849283,74
849284,50
849285,60
849286,29
849287,71
849288,20
849289,54
849290,50
849291,41
849292,48
849293,35
849294,76
849295,61
849296,60
849297,49
849298,67
849299,66
849300,39
849301,38
849302,43
849303,38
849304,66
849305,27
849306,42
849307,62
849308,68
849309,63
849310,41
849311,35
849312,41
849313,68
849314,64
849315,60
849316,64
849317,75
849318,61
849319,57
849320,68
849321,63
849322,69
849323,47
849324,72
849325,61
849326,69
849327,34
849328,52
849329,77
849330,71
849331,55
849332,74
849333,76
849334,36
849335,21
849336,29
849337,39
849338,32
849339,48
849340,57
849341,65
849342,66
849343,41
849344,23
849345,68
849346,26
849347,55
849348,76
849349,47
849350,60
849351,28
849352,72
849353,21
849354,55
849355,50
849356,43
849357,47
849358,33
849359,75
849360,67
849361,60
849362,52
849363,66
849364,68
849365,39
849366,38
849367,43
849368,35
849369,66
849370,33
849371,44
849372,65
849373,77
849374,62
849375,41
849376,36
849377,42
849378,69
849379,65
849380,60
849381,65
849382,73
849383,63
849384,55
849385,69
849386,61
