row_id,congestion
848835,47.29793362
848836,37.43336508
848837,49.30669661
848838,21.08904437
848839,68.66714286
848840,59.34257143
848841,44.87098377
848842,49.06761508
848843,55.75275
848844,61.62623016
848845,40.23155808
848846,27.63156349
848847,38.2805
848848,33.85414286
848849,59.38712698
848850,31.22827839
848851,36.92194048
848852,54.70804762
848853,55.26231818
848854,59.29397222
848855,37.17383333
848856,37.79503571
848857,38.21160101
848858,53.6948254
848859,54.53182143
848860,48.32
848861,56.9275119
848862,69.20874206
848863,56.99609452
848864,58.13241667
848865,64.59365018
848866,66.08708333
848867,66.1255119
848868,40.78405556
848869,60.84354762
848870,49.74983983
848871,61.74553968
848872,44.79435714
848873,42.15909524
848874,65.02394697
848875,69.0547381
848876,48.54596032
848877,74.96832143
848878,71.14248413
848879,41.09859127
848880,19.76154906
848881,26.05108333
848882,35.03930556
848883,31.285
848884,47.64147619
848885,52.25570238
848886,64.81163889
848887,58.15196429
848888,35.72227778
848889,24.5275119
848890,56.30759524
848891,25.79793074
848892,55.45651587
848893,71.67128571
848894,38.71568254
848895,59.81185714
848896,29.77459921
848897,68.15038095
848898,23.15246429
848899,55.15368254
848900,47.94184524
848901,32.0175754
848902,47.11174026
848903,30.7789881
848904,67.25114286
848905,61.78241667
848906,44.05211905
848907,51.09762698
848908,57.66974206
848909,64.5815
848910,38.42748413
848911,25.76552381
848912,36.438
848913,34.10293651
848914,66.22878571
848915,25.04658333
848916,45.04723196
848917,45.72980411
848918,54.48244444
848919,53.07786111
848920,46.80559524
848921,37.08821429
848922,35.68952778
848923,59.35976984
848924,62.20822222
848925,54.34707937
848926,50.73705952
848927,72.68840476
848928,53.09203571
848929,55.22127778
848930,59.75706349
848931,67.93871429
848932,64.29475
848933,40.58371429
848934,63.92507937
848935,48.34835317
848936,63.60919048
848937,52.30119589
848938,42.72541667
848939,75.92686905
848940,66.8525
848941,49.79847222
848942,76.32525397
848943,68.74693651
848944,37.4363676
848945,19.1342381
848946,28.92339286
848947,36.88956349
848948,28.02538889
848949,46.44688889
848950,56.11994841
848951,65.81634921
848952,55.93928608
848953,34.93930952
848954,24.65803175
848955,63.64555952
848956,25.54752381
848957,53.84010714
848958,71.38543254
848959,44.48321825
848960,61.42695238
848961,35.27682937
848962,69.01144444
848963,18.58575397
848964,40.29195238
848965,38.57035317
848966,39.36625
848967,50.18113709
848968,26.2884246
848969,72.26589286
848970,61.75080844
848971,37.6590119
848972,49.82563095
848973,58.80742857
848974,65.1145
848975,36.20859127
848976,25.84096429
848977,35.01445238
848978,34.68075397
848979,66.08077489
848980,29.34825794
848981,43.80882143
848982,56.20045238
848983,58.36437302
848984,62.19621825
848985,39.53051587
848986,33.11480952
848987,35.36995238
848988,63.78761905
848989,56.22034524
848990,63.12633874
848991,50.05177381
848992,75.82064286
848993,50.9899228
848994,50.17197619
848995,64.45225397
848996,64.00316089
848997,60.368
848998,40.55822222
848999,66.40871825
849000,53.32129365
849001,63.15675902
849002,38.48477778
849003,47.42192136
849004,68.03690873
849005,67.36459524
849006,51.8965119
849007,79.71755556
849008,68.20263095
849009,32.37209524
849010,19.54180952
849011,29
849012,41.32701118
849013,33.71
849014,46.51018651
849015,47.62267857
849016,61.40281746
849017,59.0662619
849018,34.34330952
849019,24.33521717
849020,61.84309055
849021,25.63228175
849022,54.45802381
849023,72.14298016
849024,41.00740079
849025,58.5607619
849026,33.54740079
849027,72.35710714
849028,16.19848016
849029,47.92357143
849030,44.51011111
849031,36.53238889
849032,53.07161905
849033,24.91094048
849034,67.05894841
849035,62.28130087
849036,44.16028175
849037,46.77138492
849038,60.40003968
849039,60.03502778
849040,36.67304365
849041,28.96814286
849042,35.9181746
849043,40.40909524
849044,62.75311905
849045,32.97511869
849046,43.76159524
849047,53.09267857
849048,59.76846429
849049,53.59779365
