,congestion
0,40.01842331072743
1,38.554564561535784
2,46.594372578881675
3,21.421990934237243
4,64.57866825960696
5,51.88983644083589
6,43.25038752606555
7,39.35224590224912
8,48.611483965360506
9,47.46115182088866
10,33.404062685644774
11,34.9794923210034
12,23.41524836947557
13,31.810582845336313
14,53.17154880722369
15,36.90374813367009
16,38.66370048407639
17,48.589056661255626
18,47.52697207108419
19,48.23222198671546
20,40.73314870406779
21,37.632050742376954
22,37.36222917486726
23,43.23661651225431
24,46.76598928988456
25,47.732814210956136
26,43.34501388280248
27,49.96393985058319
28,41.522406232146295
29,47.573645898313536
30,47.43157464682038
31,44.77603913869616
32,50.872425973567495
33,40.08193654160215
34,48.181848845445245
35,45.18791155861109
36,48.45389144609561
37,41.917028465355976
38,38.908203870956264
39,47.68668119372967
40,54.517578182240655
41,46.580736538502464
42,62.93006337361655
43,56.70890929845609
44,31.970878514055684
45,16.390981592187636
46,26.744492277936082
47,32.12140699176038
48,33.85136064950645
49,52.43862737624649
50,42.56943441602104
51,46.89365761910639
52,37.313539949257
53,24.67266877320757
54,22.539864941339346
55,45.04715244975878
56,36.83178624100732
57,49.867151503795036
58,57.87199128709969
59,42.42977700313419
60,61.552478471679635
61,38.3635774708831
62,72.16954451844482
63,29.884718923059204
64,39.08534812047034
65,39.9777057612245
66,38.2859209584203
67,46.974407771099834
68,21.205791472647796
69,64.45634080089258
70,54.99964225735765
71,46.72349743460369
72,39.22304691991776
73,46.18080615357589
74,46.70732466485493
75,33.52457697618326
76,34.458016613749734
77,25.782032235569574
78,33.11518003330506
79,53.79058672585768
80,31.011275908400005
81,39.891440996763635
82,46.25999626666112
83,46.19341422074693
84,48.91101994835478
85,36.26176681711726
86,37.138364020984156
87,38.617382586622185
88,45.36256727559505
89,46.838842683472954
90,48.416143623546375
91,49.7850780052878
92,49.04518038251411
93,41.105406716715294
94,46.82186083273849
95,45.599048501903866
96,46.953631501560054
97,53.625637481467095
98,38.276426179446254
99,46.53717266863187
100,45.15141717759123
101,50.68862786552016
102,41.93302468655331
103,38.33647288574411
104,47.89154552504121
105,56.15070962895817
106,54.4948800082731
107,63.19321944319889
108,55.212730595684306
109,30.72731270692624
110,16.628613622338374
111,26.884388930338236
112,31.892263593282202
113,33.86650345508495
114,54.663906518538624
115,41.86245611712677
116,43.32835250050225
117,37.61733348028454
118,25.43661771769075
119,22.487240998918363
120,43.72926781780696
121,35.48410616348578
122,47.94695454301805
123,57.06195516414439
124,41.28858290674534
125,61.639647713310964
126,36.29694412341385
127,76.7250031799146
128,26.8200854369472
129,39.77383344217684
130,40.00635890421685
131,38.858014905487536
132,46.8166217430075
133,20.512165473004224
134,64.6267059367441
135,55.097225429292436
136,47.21250786361077
137,40.01281295340347
138,46.522777591674384
139,45.00902592023383
140,33.54201750969153
141,34.44209083374649
142,27.531725509276452
143,36.012077903261805
144,51.01465090481507
145,36.20525657966904
146,40.81001214040753
147,49.403258349022565
148,50.213290962702416
149,47.83725965234677
150,36.999037685333185
151,37.36937559380767
152,38.4112542413708
153,40.93363200035432
154,46.63849792297952
155,46.482774344826204
156,47.55944377590221
157,46.74275732889043
158,40.02473329619501
159,43.938075241851884
160,44.68593699220462
161,46.02086416862681
162,50.425458634044254
163,35.311280129422684
164,45.867758902356215
165,45.10392721134338
166,48.312276490590236
167,41.024960295426624
168,38.033104286433414
169,48.120051140721245
170,53.903551660622384
171,55.05385812724819
172,63.232379563875995
173,54.544839659427254
174,29.2593726888651
